Timestamp,CPU Usage (%),Memory Usage (%)
2024-08-09 05:48:13,95.2,61.3
2024-08-09 05:48:15,93.4,61.3
2024-08-09 05:48:17,95.2,61.3
2024-08-09 05:48:19,98.7,61.3
2024-08-09 05:48:21,96.0,61.3
2024-08-09 05:48:23,93.5,61.3
2024-08-09 05:48:25,95.7,61.3
2024-08-09 05:48:27,97.5,61.4
2024-08-09 05:48:29,96.7,61.3
2024-08-09 05:48:31,97.0,61.4
2024-08-09 05:48:33,98.2,61.4
2024-08-09 05:48:35,98.5,49.9
2024-08-09 05:48:37,68.6,41.7
2024-08-09 05:48:39,42.5,41.7
Timestamp,CPU Usage (%),Memory Usage (%)
2024-08-09 05:48:42,78.2,41.8
2024-08-09 05:48:44,49.0,41.8
2024-08-09 05:48:46,69.2,41.9
2024-08-09 05:48:48,45.4,41.8
2024-08-09 05:48:50,66.6,41.8
2024-08-09 05:48:52,62.9,41.7
2024-08-09 05:48:54,39.2,41.7
2024-08-09 05:48:56,69.9,41.8
2024-08-09 05:48:58,39.9,41.7
2024-08-09 05:49:00,64.5,41.8
2024-08-09 05:49:02,62.6,41.8
2024-08-09 05:49:04,42.7,41.7
2024-08-09 05:49:06,69.5,41.8
2024-08-09 05:49:08,39.9,41.8
2024-08-09 05:49:10,66.4,41.9
2024-08-09 05:49:12,59.6,41.9
2024-08-09 05:49:14,39.9,41.8
2024-08-09 05:49:16,70.3,41.9
2024-08-09 05:49:18,43.0,41.8
2024-08-09 05:49:20,62.7,41.9
2024-08-09 05:49:22,61.2,41.8
2024-08-09 05:49:24,42.7,41.8
2024-08-09 05:49:26,71.9,41.8
2024-08-09 05:49:28,42.5,41.8
2024-08-09 05:49:30,79.5,42.0
2024-08-09 05:49:32,83.4,42.0
2024-08-09 05:49:34,54.5,41.8
2024-08-09 05:49:36,79.5,41.9
2024-08-09 05:49:38,72.5,41.8
2024-08-09 05:49:40,50.8,41.8
2024-08-09 05:49:42,67.2,41.8
2024-08-09 05:49:44,83.1,42.5
2024-08-09 05:49:46,80.9,42.6
2024-08-09 05:49:48,73.2,42.6
2024-08-09 05:49:50,51.1,42.4
2024-08-09 05:49:52,92.5,42.5
2024-08-09 05:49:54,69.1,42.6
2024-08-09 05:49:56,70.3,42.7
2024-08-09 05:49:58,86.3,42.8
2024-08-09 05:50:00,72.3,42.8
2024-08-09 05:50:02,73.9,42.7
2024-08-09 05:50:04,81.0,42.7
2024-08-09 05:50:07,64.6,42.6
2024-08-09 05:50:09,79.9,42.7
2024-08-09 05:50:11,82.7,42.6
2024-08-09 05:50:13,64.1,42.5
2024-08-09 05:50:15,87.6,42.7
2024-08-09 05:50:17,88.1,42.7
2024-08-09 05:50:19,64.5,42.6
2024-08-09 05:50:21,81.4,42.7
2024-08-09 05:50:23,83.8,42.7
2024-08-09 05:50:25,65.2,42.7
2024-08-09 05:50:27,83.0,42.6
2024-08-09 05:50:29,90.1,42.6
2024-08-09 05:50:31,63.2,42.6
2024-08-09 05:50:33,82.4,42.6
2024-08-09 05:50:35,84.7,42.6
2024-08-09 05:50:37,68.0,42.5
2024-08-09 05:50:39,84.0,42.7
2024-08-09 05:50:41,72.6,42.6
2024-08-09 05:50:43,64.7,42.7
2024-08-09 05:50:45,86.2,42.7
2024-08-09 05:50:47,75.1,42.7
2024-08-09 05:50:49,68.5,42.7
2024-08-09 05:50:51,86.6,42.8
2024-08-09 05:50:53,61.3,42.7
2024-08-09 05:50:55,72.0,42.8
2024-08-09 05:50:57,85.8,42.8
2024-08-09 05:50:59,63.4,42.7
2024-08-09 05:51:01,78.7,42.8
2024-08-09 05:51:03,84.7,42.8
2024-08-09 05:51:05,66.9,42.8
2024-08-09 05:51:07,79.7,42.7
2024-08-09 05:51:09,83.7,42.8
2024-08-09 05:51:11,64.7,42.7
2024-08-09 05:51:13,87.1,42.8
2024-08-09 05:51:15,84.0,42.8
2024-08-09 05:51:17,63.9,42.8
2024-08-09 05:51:19,89.7,42.8
2024-08-09 05:51:21,80.6,42.8
2024-08-09 05:51:23,63.6,42.8
2024-08-09 05:51:25,87.1,42.8
2024-08-09 05:51:27,79.9,42.8
2024-08-09 05:51:29,69.5,42.8
2024-08-09 05:51:31,80.9,42.8
2024-08-09 05:51:33,76.3,42.8
2024-08-09 05:51:35,66.2,42.8
2024-08-09 05:51:37,80.4,42.8
2024-08-09 05:51:39,66.7,42.8
2024-08-09 05:51:41,73.7,42.8
2024-08-09 05:51:43,84.9,43.0
2024-08-09 05:51:45,63.9,42.9
2024-08-09 05:51:47,78.9,42.9
2024-08-09 05:51:49,85.8,43.0
2024-08-09 05:51:51,69.5,42.9
2024-08-09 05:51:53,83.4,42.6
2024-08-09 05:51:55,100.0,43.4
2024-08-09 05:51:57,100.0,44.8
2024-08-09 05:51:59,100.0,46.0
2024-08-09 05:52:01,100.0,47.0
2024-08-09 05:52:03,100.0,48.2
2024-08-09 05:52:05,100.0,48.6
2024-08-09 05:52:07,100.0,49.5
2024-08-09 05:52:09,99.7,50.0
2024-08-09 05:52:11,100.0,50.4
2024-08-09 05:52:13,100.0,50.8
2024-08-09 05:52:15,100.0,51.4
2024-08-09 05:52:17,100.0,51.6
2024-08-09 05:52:19,100.0,52.1
2024-08-09 05:52:21,100.0,52.3
2024-08-09 05:52:23,100.0,52.7
2024-08-09 05:52:25,100.0,54.6
2024-08-09 05:52:27,100.0,54.9
2024-08-09 05:52:29,99.7,55.1
2024-08-09 05:52:31,100.0,56.3
2024-08-09 05:52:33,100.0,57.6
2024-08-09 05:52:35,100.0,58.4
2024-08-09 05:52:37,99.8,58.5
2024-08-09 05:52:39,100.0,59.5
2024-08-09 05:52:41,99.8,57.9
2024-08-09 05:52:43,99.8,58.8
2024-08-09 05:52:45,100.0,56.3
2024-08-09 05:52:47,99.2,56.3
2024-08-09 05:52:49,100.0,56.7
2024-08-09 05:52:51,100.0,56.8
2024-08-09 05:52:53,100.0,56.7
2024-08-09 05:52:55,99.5,57.1
2024-08-09 05:52:57,99.0,57.5
2024-08-09 05:52:59,100.0,57.9
2024-08-09 05:53:01,100.0,58.2
2024-08-09 05:53:03,100.0,58.3
2024-08-09 05:53:05,100.0,58.7
2024-08-09 05:53:07,99.7,59.7
2024-08-09 05:53:09,100.0,60.2
2024-08-09 05:53:11,99.5,60.5
2024-08-09 05:53:13,100.0,60.6
2024-08-09 05:53:15,100.0,62.3
2024-08-09 05:53:17,99.8,64.5
2024-08-09 05:53:19,100.0,65.5
2024-08-09 05:53:21,100.0,67.0
2024-08-09 05:53:23,100.0,67.6
2024-08-09 05:53:25,100.0,68.2
2024-08-09 05:53:27,100.0,69.9
2024-08-09 05:53:29,100.0,70.0
2024-08-09 05:53:31,100.0,70.1
2024-08-09 05:53:33,100.0,70.2
2024-08-09 05:53:35,100.0,70.3
2024-08-09 05:53:37,100.0,70.5
2024-08-09 05:53:39,100.0,70.6
2024-08-09 05:53:41,100.0,70.6
2024-08-09 05:53:43,100.0,70.7
2024-08-09 05:53:45,100.0,70.7
2024-08-09 05:53:47,100.0,72.0
2024-08-09 05:53:49,100.0,72.2
2024-08-09 05:53:51,100.0,71.5
2024-08-09 05:53:53,100.0,72.1
2024-08-09 05:53:55,100.0,72.8
2024-08-09 05:53:57,100.0,72.9
2024-08-09 05:53:59,100.0,73.0
2024-08-09 05:54:01,99.8,73.1
2024-08-09 05:54:03,100.0,73.3
2024-08-09 05:54:05,99.5,73.3
2024-08-09 05:54:07,99.7,73.1
2024-08-09 05:54:09,100.0,73.3
2024-08-09 05:54:11,99.8,73.4
2024-08-09 05:54:13,99.8,74.0
2024-08-09 05:54:15,99.8,74.0
2024-08-09 05:54:17,100.0,73.7
2024-08-09 05:54:19,99.7,75.8
2024-08-09 05:54:21,100.0,76.3
2024-08-09 05:54:23,100.0,76.3
2024-08-09 05:54:25,100.0,76.6
2024-08-09 05:54:27,100.0,76.6
2024-08-09 05:54:29,99.8,76.6
2024-08-09 05:54:31,99.7,77.1
2024-08-09 05:54:33,100.0,77.5
2024-08-09 05:54:35,99.8,77.6
2024-08-09 05:54:37,100.0,77.6
2024-08-09 05:54:39,99.5,78.1
2024-08-09 05:54:41,99.7,79.7
2024-08-09 05:54:43,100.0,80.6
2024-08-09 05:54:45,99.7,81.4
2024-08-09 05:54:47,100.0,82.7
2024-08-09 05:54:49,100.0,82.9
2024-08-09 05:54:51,100.0,82.9
2024-08-09 05:54:53,99.7,83.0
2024-08-09 05:54:55,100.0,83.0
2024-08-09 05:54:57,100.0,83.0
2024-08-09 05:54:59,99.7,82.9
2024-08-09 05:55:01,99.5,83.0
2024-08-09 05:55:03,100.0,83.1
2024-08-09 05:55:05,100.0,83.2
2024-08-09 05:55:07,100.0,84.8
2024-08-09 05:55:09,99.8,84.8
2024-08-09 05:55:11,100.0,86.6
2024-08-09 05:55:13,99.8,86.0
2024-08-09 05:55:15,100.0,86.6
2024-08-09 05:55:17,99.8,84.8
2024-08-09 05:55:19,100.0,84.2
2024-08-09 05:55:21,99.8,84.6
2024-08-09 05:55:23,100.0,84.5
2024-08-09 05:55:25,99.5,84.5
2024-08-09 05:55:27,99.2,84.8
2024-08-09 05:55:29,100.0,84.7
2024-08-09 05:55:31,99.7,84.9
2024-08-09 05:55:33,100.0,84.7
2024-08-09 05:55:35,100.0,84.7
2024-08-09 05:55:37,99.8,85.5
2024-08-09 05:55:39,100.0,84.8
2024-08-09 05:55:41,100.0,84.8
2024-08-09 05:55:43,99.7,84.9
2024-08-09 05:55:45,100.0,84.9
2024-08-09 05:55:47,100.0,82.1
2024-08-09 05:55:49,99.5,78.4
2024-08-09 05:55:51,99.0,78.2
2024-08-09 05:55:53,99.7,78.1
2024-08-09 05:55:55,99.7,78.2
2024-08-09 05:55:57,99.5,78.2
2024-08-09 05:55:59,100.0,78.3
2024-08-09 05:56:01,99.7,78.2
2024-08-09 05:56:03,99.5,78.2
2024-08-09 05:56:05,100.0,78.3
2024-08-09 05:56:07,99.8,78.2
2024-08-09 05:56:09,99.7,78.3
2024-08-09 05:56:11,100.0,78.4
2024-08-09 05:56:13,98.0,78.0
2024-08-09 05:56:15,100.0,78.2
2024-08-09 05:56:17,99.8,78.4
2024-08-09 05:56:19,100.0,78.3
2024-08-09 05:56:21,99.7,78.3
2024-08-09 05:56:23,99.0,78.4
2024-08-09 05:56:25,99.8,78.4
2024-08-09 05:56:27,99.8,78.4
2024-08-09 05:56:29,99.7,78.4
2024-08-09 05:56:31,100.0,78.2
2024-08-09 05:56:33,99.8,66.9
2024-08-09 05:56:35,99.8,61.5
2024-08-09 05:56:37,100.0,60.5
2024-08-09 05:56:39,99.5,60.4
2024-08-09 05:56:41,99.7,60.3
2024-08-09 05:56:43,99.7,60.4
2024-08-09 05:56:45,99.7,60.3
2024-08-09 05:56:47,99.8,60.4
2024-08-09 05:56:49,99.8,60.4
2024-08-09 05:56:51,99.5,60.4
2024-08-09 05:56:53,99.8,60.4
2024-08-09 05:56:55,99.2,60.4
2024-08-09 05:56:57,99.5,60.4
2024-08-09 05:56:59,100.0,60.4
2024-08-09 05:57:01,99.7,60.3
2024-08-09 05:57:03,99.7,60.4
2024-08-09 05:57:05,99.8,60.4
2024-08-09 05:57:07,100.0,60.4
2024-08-09 05:57:09,99.3,60.4
2024-08-09 05:57:11,99.2,60.5
2024-08-09 05:57:13,100.0,60.4
2024-08-09 05:57:15,99.2,60.4
2024-08-09 05:57:17,99.5,60.5
2024-08-09 05:57:19,99.7,60.5
2024-08-09 05:57:21,99.7,60.5
2024-08-09 05:57:23,98.5,60.4
2024-08-09 05:57:25,99.0,60.5
2024-08-09 05:57:27,99.8,60.5
2024-08-09 05:57:29,99.5,60.5
2024-08-09 05:57:31,99.2,60.5
2024-08-09 05:57:33,100.0,60.5
2024-08-09 05:57:35,99.7,60.6
2024-08-09 05:57:37,99.7,60.5
2024-08-09 05:57:39,99.0,60.6
2024-08-09 05:57:41,99.8,60.6
2024-08-09 05:57:43,100.0,60.6
2024-08-09 05:57:45,100.0,60.5
2024-08-09 05:57:47,99.5,60.6
2024-08-09 05:57:49,100.0,60.6
2024-08-09 05:57:51,100.0,60.5
2024-08-09 05:57:53,99.5,60.6
2024-08-09 05:57:55,100.0,60.6
2024-08-09 05:57:57,99.7,60.6
2024-08-09 05:57:59,100.0,60.6
2024-08-09 05:58:01,100.0,60.7
2024-08-09 05:58:03,99.7,60.6
2024-08-09 05:58:05,99.8,60.6
2024-08-09 05:58:07,99.2,60.6
2024-08-09 05:58:09,100.0,60.6
2024-08-09 05:58:11,100.0,60.7
2024-08-09 05:58:13,100.0,60.5
2024-08-09 05:58:15,99.8,60.6
2024-08-09 05:58:17,99.7,60.6
2024-08-09 05:58:19,99.2,60.5
2024-08-09 05:58:21,100.0,60.5
2024-08-09 05:58:23,99.7,60.6
2024-08-09 05:58:25,99.7,60.6
2024-08-09 05:58:27,100.0,60.6
2024-08-09 05:58:29,99.2,60.6
2024-08-09 05:58:31,100.0,60.5
2024-08-09 05:58:33,99.7,60.6
2024-08-09 05:58:35,100.0,60.6
2024-08-09 05:58:37,100.0,60.5
2024-08-09 05:58:39,99.7,60.6
2024-08-09 05:58:41,99.7,60.5
2024-08-09 05:58:43,100.0,60.5
2024-08-09 05:58:45,99.7,60.4
2024-08-09 05:58:47,100.0,60.6
2024-08-09 05:58:49,100.0,60.5
2024-08-09 05:58:51,100.0,60.4
2024-08-09 05:58:53,99.5,60.5
2024-08-09 05:58:55,99.7,60.6
2024-08-09 05:58:57,99.7,60.6
2024-08-09 05:58:59,99.7,60.5
2024-08-09 05:59:01,100.0,60.6
2024-08-09 05:59:03,100.0,60.6
2024-08-09 05:59:05,100.0,60.7
2024-08-09 05:59:07,99.8,60.6
2024-08-09 05:59:09,99.5,60.6
2024-08-09 05:59:11,100.0,60.7
2024-08-09 05:59:13,100.0,60.7
2024-08-09 05:59:15,99.7,60.6
2024-08-09 05:59:17,100.0,60.6
2024-08-09 05:59:19,100.0,60.7
2024-08-09 05:59:21,100.0,60.7
2024-08-09 05:59:23,100.0,60.7
2024-08-09 05:59:25,100.0,60.6
2024-08-09 05:59:27,99.8,60.7
2024-08-09 05:59:29,100.0,60.7
2024-08-09 05:59:31,99.7,60.7
2024-08-09 05:59:33,100.0,60.6
2024-08-09 05:59:35,100.0,60.7
2024-08-09 05:59:37,99.7,60.7
2024-08-09 05:59:39,99.7,60.6
2024-08-09 05:59:41,100.0,60.7
2024-08-09 05:59:43,99.7,60.6
2024-08-09 05:59:45,99.8,60.7
2024-08-09 05:59:47,99.7,60.6
2024-08-09 05:59:49,100.0,60.7
2024-08-09 05:59:51,99.2,60.4
2024-08-09 05:59:53,99.8,60.4
2024-08-09 05:59:55,100.0,60.4
2024-08-09 05:59:57,99.7,60.3
2024-08-09 05:59:59,99.0,60.4
2024-08-09 06:00:01,99.8,60.4
2024-08-09 06:00:03,99.7,60.4
2024-08-09 06:00:05,100.0,60.3
2024-08-09 06:00:07,99.5,60.4
2024-08-09 06:00:09,99.8,60.4
2024-08-09 06:00:11,100.0,60.4
2024-08-09 06:00:13,99.8,60.4
2024-08-09 06:00:15,99.5,60.5
2024-08-09 06:00:17,99.7,60.5
2024-08-09 06:00:19,99.7,60.5
2024-08-09 06:00:21,100.0,60.4
2024-08-09 06:00:23,100.0,60.4
2024-08-09 06:00:25,100.0,60.4
2024-08-09 06:00:27,100.0,60.4
2024-08-09 06:00:29,99.3,60.4
2024-08-09 06:00:31,99.5,60.5
2024-08-09 06:00:33,99.8,60.5
2024-08-09 06:00:35,99.2,60.5
2024-08-09 06:00:37,99.3,60.5
2024-08-09 06:00:39,100.0,60.5
2024-08-09 06:00:41,100.0,60.5
2024-08-09 06:00:43,99.2,60.6
2024-08-09 06:00:45,99.7,60.6
2024-08-09 06:00:47,99.8,60.6
2024-08-09 06:00:49,100.0,60.6
2024-08-09 06:00:51,99.7,60.6
2024-08-09 06:00:53,99.8,60.5
2024-08-09 06:00:55,99.8,60.6
2024-08-09 06:00:57,100.0,60.6
2024-08-09 06:00:59,99.2,60.6
2024-08-09 06:01:01,99.5,60.8
2024-08-09 06:01:03,100.0,60.6
2024-08-09 06:01:05,100.0,61.2
2024-08-09 06:01:07,100.0,61.2
2024-08-09 06:01:09,99.5,61.3
2024-08-09 06:01:11,100.0,61.3
2024-08-09 06:01:13,99.7,61.4
2024-08-09 06:01:15,100.0,61.4
2024-08-09 06:01:17,99.2,61.4
2024-08-09 06:01:19,100.0,61.4
2024-08-09 06:01:21,99.7,61.5
2024-08-09 06:01:23,99.7,61.5
2024-08-09 06:01:25,99.2,61.5
2024-08-09 06:01:27,100.0,61.6
2024-08-09 06:01:29,100.0,61.6
2024-08-09 06:01:31,99.2,61.6
2024-08-09 06:01:33,99.5,61.6
2024-08-09 06:01:35,99.8,61.6
2024-08-09 06:01:37,100.0,61.6
2024-08-09 06:01:39,99.7,61.6
2024-08-09 06:01:41,99.5,61.7
2024-08-09 06:01:43,100.0,61.6
2024-08-09 06:01:45,100.0,61.7
2024-08-09 06:01:47,99.0,61.6
2024-08-09 06:01:49,100.0,61.6
2024-08-09 06:01:51,99.7,61.6
2024-08-09 06:01:53,100.0,61.6
2024-08-09 06:01:55,99.7,61.6
2024-08-09 06:01:57,99.8,61.7
2024-08-09 06:01:59,100.0,61.7
2024-08-09 06:02:01,100.0,61.7
2024-08-09 06:02:03,99.5,61.7
2024-08-09 06:02:05,100.0,61.7
2024-08-09 06:02:07,99.7,61.7
2024-08-09 06:02:09,100.0,61.7
2024-08-09 06:02:11,99.8,61.7
2024-08-09 06:02:13,99.7,61.6
2024-08-09 06:02:15,99.7,61.4
2024-08-09 06:02:17,99.7,60.3
